id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38768,central cityapartement- wifi- nice neighbourhood,166283,Hannes,,Leopoldstadt,48.21924,16.37831,Entire home/apt,80,30,398,2025-01-05,2.34,3,116,10,
40625,"Near Palace Schönbrunn, Apt. 1",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18434,16.32701,Entire home/apt,70,1,221,2025-01-16,1.24,14,234,13,
51287,little studio- next to citycenter- wifi- nice area,166283,Hannes,,Leopoldstadt,48.21778,16.37847,Entire home/apt,61,30,381,2024-11-01,2.22,3,172,7,
109679,Near Palace Schönbrunn - Apt. 4,175131,Ingela,,Rudolfsheim-Fnfhaus,48.18467,16.32795,Entire home/apt,62,1,144,2025-01-05,0.91,14,356,9,
114505,"Near Palace Schönbrunn, Apt. 5",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18445,16.32722,Entire home/apt,88,1,124,2022-12-30,0.74,14,259,0,
121026,"Feels-Like-Home Apt with garage, balcony & aircon",608240,Andrei,,Leopoldstadt,48.2158,16.39034,Entire home/apt,94,3,454,2025-02-24,2.71,2,11,52,
131628,"Holiday Apartment ""Modern Vienna""",647465,Sylvia,,Ottakring,48.21543,16.30939,Entire home/apt,,7,0,,,2,0,0,
138264,Apartment with roofterrace (#1),675182,Stephanie,,Hernals,48.22353,16.31773,Entire home/apt,159,1,6,2023-05-07,0.08,13,244,0,
169672,In the Heart of Vienna - Naschmarkt,808772,Astrid,,Wieden,48.19527,16.36374,Private room,56,2,430,2025-01-01,2.60,1,349,22,
169752,Viennaflat mini: Centrally located studio,809077,Martha,,Margareten,48.19469,16.35963,Entire home/apt,55,1,105,2025-03-03,0.88,11,1,15,
169852,Viennaflat classic: spacious flat in the center,809077,Martha,,Margareten,48.19469,16.35963,Entire home/apt,81,1,92,2024-09-15,0.57,11,65,9,
171835,Apartment in the Heart of Vienna,495496,Katarina,,Wieden,48.19571,16.37501,Entire home/apt,96,3,187,2025-01-01,1.14,1,72,12,
172530,"Viennaflat top: spacious, bright and in the center",809077,Martha,,Margareten,48.19469,16.35963,Entire home/apt,,1,240,2025-01-03,1.45,11,195,11,
173375,Central Cosy Suite in Vienna's Karmeliterviertel,827783,Stefan,,Leopoldstadt,48.21664,16.37842,Entire home/apt,77,2,268,2025-02-09,1.62,1,9,38,
179857,**Cozy CityAp 90sqm(!) AUGARTEN**,861392,Gary,,Brigittenau,48.22727966308594,16.37061309814453,Entire home/apt,,4,56,2024-08-25,0.34,4,0,3,
197787,Sunny Apartment Roofterrace (#2),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,103,1,2,2017-01-05,0.02,13,0,0,
197809,Cozy Studio for 2 persons (#4),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,93,1,6,2022-05-24,0.04,13,254,0,
197822,Comfortable Apartement for 2 (#5),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,88,1,0,,,13,253,0,
197827,Comfortable Apartment for 2 (#6),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,98,1,0,,,13,279,0,
197831,Roomy Apartment for 4 persons (#7),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,154,1,1,2024-06-06,0.11,13,261,1,
197842,Apartment with elegant charme (#8),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,154,1,3,2016-12-14,0.02,13,1,0,
197852,Studio with Garden for 2 (#H03),675182,Stephanie,,Hernals,48.22509,16.31632,Entire home/apt,98,1,3,2024-10-09,0.14,13,228,2,
197857,Quiet Studio with Garden (#R02),675182,Stephanie,,Hernals,48.22501,16.31557,Entire home/apt,98,1,6,2024-06-23,0.04,13,250,1,
197859,Studio with Balcony for 2 (#R26),675182,Stephanie,,Hernals,48.22501,16.31557,Entire home/apt,98,1,4,2022-11-06,0.06,13,265,0,
197865,Apartment with Space for 5 (#F21/7),675182,Stephanie,,Hernals,48.22365,16.31742,Entire home/apt,218,1,1,2014-01-05,0.01,13,263,0,
197870,Spacious comfy Apartment (#F21/18),675182,Stephanie,,Hernals,48.22365,16.31742,Entire home/apt,218,1,1,2017-05-01,0.01,13,1,0,
197968,Central 2 bedroom flat,965759,Pierre,,Alsergrund,48.21919,16.35505,Entire home/apt,,1,97,2024-12-26,0.64,2,0,10,
203691,"At the City center room with shower, sink",518644,Michael,,Margareten,48.19347,16.359,Private room,45,1,110,2025-03-01,0.67,32,0,27,
203707,LONG TERM Full of light and large bathroom+Bathtub,518644,Michael,,Margareten,48.19496,16.35896,Entire home/apt,,30,95,2022-06-10,0.58,32,0,0,
210780,Near Palace Schönbrunn - Apt. 2,175131,Ingela,,Rudolfsheim-Fnfhaus,48.18444,16.32715,Entire home/apt,72,1,187,2024-11-01,1.14,14,317,6,
216214,Complete furnished+private bathroom 1 month min,518644,Michael,,Margareten,48.19372,16.35862,Private room,35,30,38,2024-08-01,0.23,32,365,1,
229535,City Center - Jump over the canal to be there,1108400,Dan,,Leopoldstadt,48.21353530883789,16.377519607543945,Entire home/apt,70,1,647,2025-03-05,3.96,14,0,67,
234613,Super Central Super Price II | Renovated in 2024,1108400,Dan,,Leopoldstadt,48.21269,16.37841,Entire home/apt,46,1,835,2025-02-15,5.20,14,345,76,
235805,Inner City - Dorotheum,150784775,Jennifer,,Innere Stadt,48.20541,16.36867,Entire home/apt,86,3,159,2025-01-02,1.14,2,261,13,
242287,Comfortable city flat at Rennweg,1271221,Familien,,Landstra§e,48.19148,16.39017,Entire home/apt,70,30,271,2024-12-21,1.67,2,45,34,
244032,"Your sunny, central and quiet home with garden",1280331,Corinna,,Mariahilf,48.192144184272294,16.342926651005616,Entire home/apt,211,2,180,2024-07-30,1.12,1,71,7,
244521,Heart of Vienna cosy and modern,518644,Michael,,Margareten,48.19446,16.36087,Entire home/apt,,30,38,2024-10-03,0.23,32,365,1,
244919,"Apartment ""Modern Vienna Enkplatz""",647465,Sylvia,,Simmering,48.17691,16.41262,Entire home/apt,59,7,1,2015-02-16,0.01,2,0,0,
